FileName,Label,Dataset
MF20041020_0015_0.wav,1,IFAW
MF20041020_0015_1.wav,1,IFAW
MF20041012_0025_0.wav,1,IFAW
MF20041116_0023_0.wav,1,IFAW
MF20041116_0023_1.wav,1,IFAW
MF20041116_0023_2.wav,1,IFAW
MF20041116_0023_4.wav,1,IFAW
MF20041116_0023_5.wav,1,IFAW
MF20041116_0023_6.wav,1,IFAW
MF20041116_0023_7.wav,1,IFAW
MF20041116_0023_8.wav,1,IFAW
MF20041116_0023_10.wav,1,IFAW
MF20041116_0023_11.wav,1,IFAW
MF20041116_0023_12.wav,1,IFAW
MF20041116_0023_13.wav,1,IFAW
MF20041105_0008_2.wav,1,IFAW
MF20041105_0008_3.wav,1,IFAW
MF20041129_0016_0.wav,1,IFAW
MF20041129_0016_1.wav,1,IFAW
MF20041117_0014_0.wav,1,IFAW
MF20041117_0014_1.wav,1,IFAW
MF20041124_0015_0.wav,1,IFAW
MF20041124_0015_1.wav,1,IFAW
MF20041028_0012_0.wav,1,IFAW
MF20041028_0012_1.wav,1,IFAW
MF20041027_0039_0.wav,1,IFAW
MF20041027_0039_1.wav,1,IFAW
MF20041027_0039_2.wav,1,IFAW
MF20041012_0009_0.wav,0,IFAW
MF20041012_0009_1.wav,0,IFAW
MF20041012_0009_2.wav,0,IFAW
MF20041012_0009_3.wav,0,IFAW
MF20041012_0009_4.wav,0,IFAW
MF20041012_0009_7.wav,0,IFAW
MF20041012_0009_8.wav,0,IFAW
MF20041012_0009_10.wav,0,IFAW
MF20041012_0009_11.wav,0,IFAW
MF20041012_0009_15.wav,0,IFAW
MF20041012_0009_16.wav,0,IFAW
MF20041012_0009_19.wav,0,IFAW
MF20041012_0009_24.wav,0,IFAW
MF20041012_0009_30.wav,0,IFAW
MF20041012_0009_31.wav,0,IFAW
MF20041012_0009_34.wav,0,IFAW
MF20041012_0009_36.wav,0,IFAW
MF20041012_0009_38.wav,0,IFAW
MF20041012_0009_41.wav,0,IFAW
MF20041012_0009_42.wav,0,IFAW
MF20041012_0009_50.wav,0,IFAW
MF20041012_0009_51.wav,0,IFAW
MF20041012_0009_53.wav,0,IFAW
MF20041012_0009_54.wav,0,IFAW
MF20041012_0009_55.wav,0,IFAW
MF20041012_0009_56.wav,0,IFAW
MF20041116_0004_0.wav,1,IFAW
MF20041116_0004_1.wav,1,IFAW
MF20041116_0004_3.wav,1,IFAW
MF20041116_0004_4.wav,1,IFAW
MF20041116_0004_5.wav,1,IFAW
MF20041116_0004_6.wav,1,IFAW
MF20041116_0004_7.wav,1,IFAW
MF20041030_0008_0.wav,1,IFAW
MF20041030_0008_1.wav,1,IFAW
MF20041121_0004_0.wav,1,IFAW
MF20041121_0004_1.wav,1,IFAW
MF20041121_0004_2.wav,1,IFAW
MF20041127_0006_0.wav,1,IFAW
MF20041127_0006_2.wav,1,IFAW
MF20041127_0006_3.wav,1,IFAW
MF20041127_0006_4.wav,1,IFAW
MF20041127_0006_5.wav,1,IFAW
MF20041127_0006_6.wav,1,IFAW
MF20041127_0006_7.wav,1,IFAW
MF20041116_0006_2.wav,0,IFAW
MF20041116_0006_6.wav,0,IFAW
MF20041116_0006_7.wav,0,IFAW
MF20041116_0006_9.wav,0,IFAW
MF20041116_0006_13.wav,0,IFAW
